simTime_s,runTime_s,timing,phase,aCam_mps2,speed_mps,yawRate_dps,jerk_mps3
0.008,0.000,0,前進 0,0.0180,0.0001,0.000,3.000
0.010,0.000,0,前進 0,0.0240,0.0001,0.000,3.000
0.012,0.000,0,前進 0,0.0300,0.0002,0.000,3.000
0.014,0.000,0,前進 0,0.0360,0.0003,0.000,3.000
0.016,0.000,0,前進 0,0.0420,0.0003,0.000,3.000
0.018,0.000,0,前進 0,0.0480,0.0004,0.000,3.000
0.020,0.000,0,前進 0,0.0540,0.0005,0.000,3.000
0.022,0.000,0,前進 0,0.0600,0.0007,0.000,3.000
0.024,0.000,0,前進 0,0.0660,0.0008,0.000,3.000
0.026,0.000,0,前進 0,0.0720,0.0009,0.000,3.000
0.028,0.000,0,前進 0,0.0780,0.0011,0.000,3.000
0.030,0.000,0,前進 0,0.0840,0.0013,0.000,3.000
0.032,0.000,0,前進 0,0.0900,0.0014,0.000,3.000
0.034,0.000,0,前進 0,0.0960,0.0016,0.000,3.000
0.036,0.000,0,前進 0,0.1020,0.0018,0.000,3.000
0.038,0.000,0,前進 0,0.1080,0.0021,0.000,3.000
0.040,0.000,0,前進 0,0.1140,0.0023,0.000,3.000
0.042,0.000,0,前進 0,0.1200,0.0025,0.000,3.000
0.044,0.000,0,前進 0,0.1260,0.0028,0.000,3.000
0.046,0.000,0,前進 0,0.1320,0.0030,0.000,3.000
0.048,0.000,0,前進 0,0.1380,0.0033,0.000,3.000
0.050,0.000,0,前進 0,0.1440,0.0036,0.000,3.000
0.052,0.000,0,前進 0,0.1500,0.0039,0.000,3.000
0.054,0.000,0,前進 0,0.1560,0.0042,0.000,3.000
0.056,0.000,0,前進 0,0.1620,0.0045,0.000,3.000
0.058,0.000,0,前進 0,0.1680,0.0049,0.000,3.000
0.060,0.000,0,前進 0,0.1740,0.0052,0.000,3.000
0.062,0.000,0,前進 0,0.1800,0.0056,0.000,3.000
0.064,0.000,0,前進 0,0.1860,0.0060,0.000,3.000
0.066,0.000,0,前進 0,0.1920,0.0063,0.000,3.000
0.068,0.000,0,前進 0,0.1980,0.0067,0.000,3.000
0.070,0.000,0,前進 0,0.2040,0.0071,0.000,3.000
0.072,0.000,0,前進 0,0.2100,0.0076,0.000,3.000
0.074,0.000,0,前進 0,0.2160,0.0080,0.000,3.000
0.076,0.000,0,前進 0,0.2220,0.0084,0.000,3.000
0.078,0.000,0,前進 0,0.2280,0.0089,0.000,3.000
0.080,0.000,0,前進 0,0.2340,0.0094,0.000,3.000
0.082,0.000,0,前進 0,0.2400,0.0098,0.000,3.000
0.084,0.000,0,前進 0,0.2460,0.0103,0.000,3.000
0.086,0.000,0,前進 0,0.2520,0.0108,0.000,3.000
0.088,0.000,0,前進 0,0.2580,0.0114,0.000,3.000
0.090,0.000,0,前進 0,0.2640,0.0119,0.000,3.000
0.092,0.000,0,前進 0,0.2700,0.0124,0.000,3.000
0.094,0.000,0,前進 0,0.2760,0.0130,0.000,3.000
0.096,0.000,0,前進 0,0.2820,0.0135,0.000,3.000
0.098,0.000,0,前進 0,0.2880,0.0141,0.000,3.000
0.100,0.000,0,前進 0,0.2940,0.0147,0.000,3.000
0.102,0.000,0,前進 0,0.3000,0.0153,0.000,3.000
0.104,0.000,0,前進 0,0.3060,0.0159,0.000,3.000
0.106,0.000,0,前進 0,0.3120,0.0165,0.000,3.000
0.108,0.000,0,前進 0,0.3180,0.0172,0.000,3.000
0.110,0.000,0,前進 0,0.3240,0.0178,0.000,3.000
0.112,0.000,0,前進 0,0.3300,0.0185,0.000,3.000
0.114,0.000,0,前進 0,0.3360,0.0192,0.000,3.000
0.116,0.000,0,前進 0,0.3420,0.0198,0.000,3.000
0.118,0.000,0,前進 0,0.3480,0.0205,0.000,3.000
0.120,0.000,0,前進 0,0.3540,0.0212,0.000,3.000
0.122,0.000,0,前進 0,0.3600,0.0220,0.000,3.000
0.124,0.000,0,前進 0,0.3660,0.0227,0.000,3.000
0.126,0.000,0,前進 0,0.3720,0.0234,0.000,3.000
0.128,0.000,0,前進 0,0.3780,0.0242,0.000,3.000
0.130,0.000,0,前進 0,0.3840,0.0250,0.000,3.000
0.132,0.000,0,前進 0,0.3900,0.0257,0.000,3.000
0.134,0.000,0,前進 0,0.3960,0.0265,0.000,3.000
0.136,0.000,0,前進 0,0.4020,0.0273,0.000,3.000
0.138,0.000,0,前進 0,0.4080,0.0282,0.000,3.000
0.140,0.000,0,前進 0,0.4140,0.0290,0.000,3.000
0.142,0.000,0,前進 0,0.4200,0.0298,0.000,3.000
0.144,0.000,0,前進 0,0.4260,0.0307,0.000,3.000
0.146,0.000,0,前進 0,0.4320,0.0315,0.000,3.000
0.148,0.000,0,前進 0,0.4380,0.0324,0.000,3.001
0.150,0.000,0,前進 0,0.4440,0.0333,0.000,3.000
0.152,0.000,0,前進 0,0.4500,0.0342,0.000,3.000
0.154,0.000,0,前進 0,0.4560,0.0351,0.000,3.000
0.156,0.000,0,前進 0,0.4620,0.0360,0.000,3.001
0.158,0.000,0,前進 0,0.4680,0.0370,0.000,3.000
0.160,0.000,0,前進 0,0.4740,0.0379,0.000,3.000
0.162,0.000,0,前進 0,0.4800,0.0389,0.000,3.000
0.164,0.000,0,前進 0,0.4860,0.0399,0.000,3.001
0.166,0.000,0,前進 0,0.4920,0.0408,0.000,3.000
0.168,0.000,0,前進 0,0.4980,0.0418,0.000,3.000
0.170,0.000,0,前進 0,0.5040,0.0428,0.000,3.000
0.172,0.000,0,前進 0,0.5100,0.0439,0.000,3.000
0.174,0.000,0,前進 0,0.5160,0.0449,0.000,3.001
0.176,0.000,0,前進 0,0.5220,0.0459,0.000,3.000
0.178,0.000,0,前進 0,0.5280,0.0470,0.000,3.000
0.180,0.000,0,前進 0,0.5340,0.0481,0.000,3.000
0.182,0.000,0,前進 0,0.5400,0.0491,0.000,3.001
0.184,0.000,0,前進 0,0.5460,0.0502,0.000,3.000
0.186,0.000,0,前進 0,0.5520,0.0513,0.000,3.000
0.188,0.000,0,前進 0,0.5580,0.0525,0.000,3.000
0.190,0.000,0,前進 0,0.5640,0.0536,0.000,3.000
0.192,0.000,0,前進 0,0.5700,0.0547,0.000,3.001
0.194,0.000,0,前進 0,0.5760,0.0559,0.000,3.000
0.196,0.000,0,前進 0,0.5820,0.0570,0.000,3.000
0.198,0.000,0,前進 0,0.5880,0.0582,0.000,3.000
0.200,0.000,0,前進 0,0.5940,0.0594,0.000,3.000
0.202,0.000,0,前進 0,0.6000,0.0606,0.000,3.001
0.204,0.000,0,前進 0,0.6060,0.0618,0.000,3.000
0.206,0.000,0,前進 0,0.6120,0.0630,0.000,3.001
0.208,0.000,0,前進 0,0.6180,0.0643,0.000,2.999
0.210,0.000,0,前進 0,0.6240,0.0655,0.000,3.001
0.212,0.000,0,前進 0,0.6300,0.0668,0.000,2.999
0.214,0.000,0,前進 0,0.6360,0.0681,0.000,3.001
0.216,0.000,0,前進 0,0.6420,0.0693,0.000,3.001
0.218,0.000,0,前進 0,0.6480,0.0706,0.000,2.999
0.220,0.000,0,前進 0,0.6540,0.0719,0.000,3.001
